,height,spatial_ref,tas,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,0.0,0.0,0.0,0.0
mean,2.0,0.0,0.5980757871933825,,,,
std,0.0,0.0,4.97912563843049,,,,
min,2.0,0.0,-5.609060138100106,,,,
25%,2.0,0.0,-3.990130173694559,,,,
50%,2.0,0.0,0.5979427650071527,,,,
75%,2.0,0.0,6.314620319178773,,,,
max,2.0,0.0,6.67781990783504,,,,
