,spatial_ref,tos,roll_mean,roll_median,roll_max,roll_min
count,15.0,15.0,0.0,0.0,0.0,0.0
mean,0.0,5.925627258012342,,,,
std,0.0,2.149773238549151,,,,
min,0.0,2.5840074627131027,,,,
25%,0.0,4.237625209599663,,,,
50%,0.0,6.101740320330337,,,,
75%,0.0,6.734841424281996,,,,
max,0.0,9.73491182438284,,,,
