,spatial_ref,clt,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0
mean,0.0,83.44066585020586,83.23729807803707,83.13326401453496,85.15168876577845,81.28780371206075
std,0.0,4.467098560959487,4.075179115094501,4.160233162961611,3.683278969134745,4.716283847359923
min,0.0,78.55088193653503,80.21785921925947,80.44309555255835,81.4255629458694,77.44038469006719
25%,0.0,81.24407720269994,80.7128827464827,80.64396135758464,82.85599100381427,78.54377530443571
50%,0.0,81.90056471289735,81.91707488267922,81.56890242634674,84.32495717943587,79.29198173674988
75%,0.0,82.91269910754822,82.56895519962154,82.40244001859016,85.08636160975196,81.54199207914232
max,0.0,92.82505551800772,91.9595591153265,92.31645650852555,92.82505551800772,90.8980472673929
