,lev,spatial_ref,ph,roll_mean,roll_median,roll_max,roll_min
count,9.0,9.0,9.0,0.0,0.0,0.0,0.0
mean,5.0155909061431885,0.0,7.715235890355245,,,,
std,1.4766136407852173,0.0,0.14155985911867636,,,,
min,3.0467727184295654,0.0,7.6018465079411115,,,,
25%,3.0467727184295654,0.0,7.606070013657565,,,,
50%,6.0,0.0,7.638552196503762,,,,
75%,6.0,0.0,7.897135215068353,,,,
max,6.0,0.0,7.905760436828802,,,,
