,spatial_ref,siconc,roll_mean,roll_median,roll_max,roll_min
count,11.0,11.0,0.0,0.0,0.0,0.0
mean,0.0,4.77805871812021,,,,
std,0.0,6.659127562782855,,,,
min,0.0,0.0,,,,
25%,0.0,0.006629785182029842,,,,
50%,0.0,0.5725646807017953,,,,
75%,0.0,10.690558040346486,,,,
max,0.0,14.744217193419557,,,,
