,height,spatial_ref,tas,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,2.0,0.0,-5.472697494336351,-5.31190139026253,-5.294611468500242,-3.9995922263641233,-6.454970530696158
std,0.0,0.0,2.208384551507868,1.8880440889649739,2.0929020018286506,1.8464672226430434,1.7997895073326464
min,2.0,0.0,-8.040087389629575,-7.552142862609877,-7.591209487530502,-6.6852996229298824,-8.316152764493648
25%,2.0,0.0,-7.209220333346655,-7.170762684637896,-7.31556304379243,-5.474720649949701,-8.201945418722046
50%,2.0,0.0,-6.21974968459328,-5.207173208600496,-5.264333658189233,-3.6640963903214576,-6.788613977816299
75%,2.0,0.0,-3.2779595807180826,-3.542398678490362,-3.5773114181364853,-2.5185927364624545,-4.613600049873144
max,2.0,0.0,-2.4095542700010943,-2.497270183254066,-2.595663534792949,-1.4185103526741818,-3.3403291904711643
