,spatial_ref,sithick,roll_mean,roll_median,roll_max,roll_min
count,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,0.7444783261223277,0.7297597489958947,0.7315281780873844,0.8089206461314972,0.6522451592209562
std,0.0,0.1369943461035388,0.09288847171820842,0.08959607100006407,0.10683709944257287,0.09355985376864219
min,0.0,0.6257804427487305,0.6590287626398803,0.6550932955750193,0.7058795774733858,0.5655755070828685
25%,0.0,0.6432183783767084,0.6611480822062432,0.6634232989349338,0.753549646288296,0.574160206554981
50%,0.0,0.7006860906494371,0.6827368896890682,0.6947699733129147,0.7551085253642918,0.6251390359723945
75%,0.0,0.8064750885831694,0.7980639735157976,0.8052967489763995,0.8716374749544987,0.7314926056417295
max,0.0,0.9739167705061494,0.8635978041206755,0.8494224113169565,0.9739167705061494,0.7735063173507284
