,spatial_ref,tos,roll_mean,roll_median,roll_max,roll_min
count,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.0,-0.09520454935993618,-0.0757446850756675,-0.08952885504520115,0.30320041616894533,-0.39066553292343287
std,0.0,0.8246208524647723,0.8424093102125544,0.8239850220098379,0.9597357619060543,0.7815646016109231
min,0.0,-1.329823032108153,-1.2249899173848604,-1.2260766865741421,-1.0983311130972055,-1.4704083876086989
25%,0.0,-0.8809564733004136,-0.9852690750079575,-0.9584291988003653,-0.6814261509346168,-1.1836018642168247
50%,0.0,0.23560882600182756,0.31413090308561076,0.23560882600182756,0.5946196675715898,-0.09979464536181348
75%,0.0,0.5517161734012632,0.6514793733663092,0.5517161734012632,1.0703750077931624,0.22808227264351932
max,0.0,0.9434672620227746,0.9287364553932702,0.9257377398122911,1.5303818706763057,0.6011190574767762
