,height,spatial_ref,velocity,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,10.0,0.0,2.249392929396428,2.307228188118638,2.2950905763878255,2.711462650781945,1.8654540858456257
std,0.0,0.0,0.4783268495212337,0.17929349135451292,0.2343738484400351,0.29254418888962486,0.14062358562961919
min,10.0,0.0,1.6634730844754755,1.9636975794008997,1.87997090380971,2.3090557761572574,1.6232296992627628
25%,10.0,0.0,1.96299193777394,2.226524824251773,2.2169447499383765,2.5841767153142405,1.7656768836608563
50%,10.0,0.0,2.0263746535241416,2.310486260557651,2.3086868903427336,2.6151301522228882,1.8845689634755391
75%,10.0,0.0,2.54735709331732,2.4142118457645942,2.380857191916757,2.7331364865577146,1.991567168487239
max,10.0,0.0,3.235820721662862,2.5978777190402913,2.743224013792896,3.332715503100474,2.0476553873101637
