,height,spatial_ref,tas,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,2.0,0.0,1.0777352434876635,0.9915496871878312,0.9155831315634804,1.8243822529978118,0.21465943952782793
std,0.0,0.0,3.061560935416646,3.112023993718417,3.1354559822918673,2.9141755473070727,3.43852899625435
min,2.0,0.0,-2.871081827893559,-3.5843564520068085,-3.6500598333633167,-2.2338497308410523,-5.255509493183533
25%,2.0,0.0,-2.1648213458259193,-1.7229380467952244,-1.7894557782845717,-0.9449361134620295,-2.30000291029824
50%,2.0,0.0,1.741008793152445,1.6853425521335328,1.5069827601050612,2.70852280535022,1.1059874447887665
75%,2.0,0.0,3.723333704357064,3.8819977948532416,3.7329121288130587,4.507774617090592,3.1160730202200586
max,2.0,0.0,4.815164223221878,4.288542153403405,4.398327146075778,5.005638317820035,3.8304478992492754
