,height,spatial_ref,velocity,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,0.0,0.0,0.0,0.0
mean,10.0,0.0,2.331981676350847,,,,
std,0.0,0.0,0.4123476932016277,,,,
min,10.0,0.0,1.5767743450032876,,,,
25%,10.0,0.0,2.1105308276212464,,,,
50%,10.0,0.0,2.4230533662637344,,,,
75%,10.0,0.0,2.5853676380022774,,,,
max,10.0,0.0,3.064841486803441,,,,
