,spatial_ref,tos,roll_mean,roll_median,roll_max,roll_min
count,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.0,3.5674842157866626,3.4489028388549534,3.4015052621891533,3.964506393261379,2.9928877461960797
std,0.0,1.0797005994211275,1.0481518596388053,1.0738344884772228,1.093039943197889,1.065284305071945
min,0.0,2.653784475411515,2.3920290696842685,2.097161658594115,2.9699116185233323,1.4030477830484402
25%,0.0,2.9663245657476036,2.9202670770100525,2.90624346235256,3.2775302569406577,2.528138417341933
50%,0.0,3.052849416951373,2.9857626473857573,3.0142403114505902,3.503337712197929,2.7588987987802907
75%,0.0,3.5659900340775503,3.3424281954754007,3.2633230165927194,4.0954237514332155,2.9566513773143983
max,0.0,5.951853675467664,5.598418052796577,5.638651974595121,6.044271111321578,5.1147487395358935
