,spatial_ref,clt,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0
mean,0.0,87.73689587043395,87.55412708887786,87.57466149184306,88.73798215145702,86.42097657713202
std,0.0,1.8179670741284166,1.9952471605046975,2.0256191371274404,1.9973733283174584,2.1177006964402056
min,0.0,85.26183222212946,85.27567213365121,85.26183222212946,86.01957748158681,84.59161498346927
25%,0.0,86.81727436381998,86.37434087320035,86.42664235135175,87.54873572754295,85.13567977166714
50%,0.0,87.42949912429499,86.68819540190063,86.88160996192406,88.42367277572184,85.45968435688455
75%,0.0,88.24587881041896,88.2492023187113,88.22487933647585,89.57559151166218,86.98730067353767
max,0.0,91.66764530424881,91.39095766317772,91.43582398192056,92.76518089604424,90.88421464960692
