,spatial_ref,clt,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,0.0,0.0,0.0,0.0
mean,0.0,86.77981271295818,,,,
std,0.0,2.5249553690011903,,,,
min,0.0,82.95881631067368,,,,
25%,0.0,85.10020818381662,,,,
50%,0.0,87.01998077794818,,,,
75%,0.0,89.03777889596158,,,,
max,0.0,90.805213465585,,,,
