,spatial_ref,sithick,roll_mean,roll_median,roll_max,roll_min
count,6.0,6.0,0.0,0.0,0.0,0.0
mean,0.0,0.5634112060602386,,,,
std,0.0,0.09101393391538384,,,,
min,0.0,0.40655215207959217,,,,
25%,0.0,0.529154968664545,,,,
50%,0.0,0.5999466655933983,,,,
75%,0.0,0.607548840086651,,,,
max,0.0,0.6583811184890475,,,,
