,spatial_ref,siconc,roll_mean,roll_median,roll_max,roll_min
count,11.0,11.0,0.0,0.0,0.0,0.0
mean,0.0,22.995446011045242,,,,
std,0.0,20.684201684068597,,,,
min,0.0,0.05587022249026524,,,,
25%,0.0,0.674032675160559,,,,
50%,0.0,23.93071251551083,,,,
75%,0.0,41.83273948997777,,,,
max,0.0,49.740667369992416,,,,
