,spatial_ref,tos,roll_mean,roll_median,roll_max,roll_min
count,15.0,15.0,0.0,0.0,0.0,0.0
mean,0.0,2.4904765428643354,,,,
std,0.0,2.863293812586692,,,,
min,0.0,-0.8913228009743831,,,,
25%,0.0,0.2737139301879119,,,,
50%,0.0,1.471376243382137,,,,
75%,0.0,5.076452758656245,,,,
max,0.0,6.81992684928002,,,,
