,lev,spatial_ref,ph,roll_mean,roll_median,roll_max,roll_min
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,5.0155909061431885,0.0,7.954517824875244,7.959330932032665,7.959372931729025,7.968923410227845,7.949402088723973
std,1.4766136407852173,0.0,0.03296972787513373,0.03160078119130476,0.03204483556715731,0.029892321979329495,0.033451911293043556
min,3.0467727184295654,0.0,7.917968155312658,7.9227746020392145,7.9208436032718685,7.931459556768517,7.912842348464455
25%,3.0467727184295654,0.0,7.922954963465923,7.929377477892141,7.927313283014154,7.943462572727153,7.918337308077209
50%,6.0,0.0,7.947848219553649,7.955132808640494,7.956560646500165,7.966185280026057,7.942240333225203
75%,6.0,0.0,7.994725228679461,7.996934242711217,7.994725228679461,8.001273036342898,7.987428835408927
max,6.0,0.0,7.996664817351487,7.999006193832163,8.000062988653262,8.008542550123812,7.994064543331413
