,lev,spatial_ref,ph,roll_mean,roll_median,roll_max,roll_min
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,5.0155909061431885,0.0,7.862156917309512,7.87002943022283,7.869334049552598,7.883876604887558,7.858389787982018
std,1.4766136407852173,0.0,0.024193986445852078,0.021085573983635548,0.01970221194981428,0.01961208515723751,0.024587794438504902
min,3.0467727184295654,0.0,7.837039758002047,7.8472954273205575,7.848744919722384,7.866843344949944,7.832310629363353
25%,3.0467727184295654,0.0,7.844852629361001,7.855312030154846,7.856732960719135,7.8683515500021874,7.840118074333794
50%,6.0,0.0,7.851715833518835,7.861167859091937,7.860559693973381,7.871110304292451,7.848456107371498
75%,6.0,0.0,7.887310715234485,7.895890844408162,7.890533352547217,7.9022282262991945,7.887310715234485
max,6.0,0.0,7.9022282262991945,7.898291701146245,7.898154203606609,7.91467063402305,7.894667161608587
