,spatial_ref,siconc,roll_mean,roll_median,roll_max,roll_min
count,11.0,11.0,11.0,11.0,11.0,11.0
mean,0.0,49.424333942442324,48.29812692570188,48.66039064841585,53.48119825878293,42.141179467202285
std,0.0,6.1867331559887875,6.717613308607223,7.294546175622957,7.195491241169004,6.939320822843129
min,0.0,39.09081117239767,38.72833389180509,39.792904316847796,41.191964526397165,34.49086605175652
25%,0.0,44.52057159463856,42.82352774749663,43.52006916341931,48.0251145599404,36.58981533458363
50%,0.0,52.82054819426122,47.69496660422126,46.83376133210867,53.92324052937173,41.16304173162222
75%,0.0,54.388821794411605,51.93715563981201,54.388821794411605,57.45794235729929,44.668272657548016
max,0.0,56.65403575829546,60.350332149425014,61.814489645030626,65.48838470283958,54.64430500052246
