,height,spatial_ref,velocity,roll_mean,roll_median,roll_max,roll_min
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,10.0,0.0,2.0480716246350847,2.1249154160066452,2.0932881999125934,2.55466027267749,1.7936076858465757
std,0.0,0.0,0.26369343362099273,0.1395939840473054,0.17029642966429392,0.2615688679198099,0.18148517296693767
min,10.0,0.0,1.638576288214023,1.9145603348243043,1.8145860852173463,2.012744568217102,1.5493012353151505
25%,10.0,0.0,1.9249213888455572,2.017707472667088,1.9609489911872708,2.39656760822943,1.6735363735853868
50%,10.0,0.0,2.0346003660600367,2.136620420486291,2.1187349222816616,2.6470486584589734,1.779375720402074
75%,10.0,0.0,2.1143123455459154,2.2554733899871637,2.206683940254165,2.7311595509673356,1.961659037941709
max,10.0,0.0,2.5573828109561134,2.3049734607825725,2.3289416033132126,2.8965228902590376,2.064845642675721
