,spatial_ref,siconc,roll_mean,roll_median,roll_max,roll_min
count,11.0,11.0,11.0,11.0,11.0,11.0
mean,0.0,12.469935122535578,13.290480076515534,13.126585056214635,17.254555969750257,9.527853205124348
std,0.0,10.406311254796563,11.156522492905163,10.833947303636815,15.001040221450145,8.265151986836106
min,0.0,1.1965198841087379,1.4648783891264145,1.4639380766526358,2.186692197036884,0.7973108912301026
25%,0.0,2.1195883003110625,3.0610068645849724,2.530532752221635,5.16535897507695,1.4600020763918649
50%,0.0,11.475185859553413,13.081843025413571,14.417263445661995,16.278976395878647,7.4919721161660595
75%,0.0,22.811263242690725,21.324778615910212,21.866832583661754,23.18817320977107,18.587290217174584
max,0.0,25.506469513893325,30.275483980669073,28.5422452175885,43.250322709931545,20.08859846939449
