,spatial_ref,sithick,roll_mean,roll_median,roll_max,roll_min
count,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,1.1271857712832956,1.0691146783739964,1.0598806033929027,1.1869199085278026,0.9737453048957514
std,0.0,0.170943982802244,0.06470722917998754,0.0498914697931238,0.10990553034150154,0.06416582477515585
min,0.0,0.9315312411744229,0.9920540142297855,0.9899731049493253,1.0493986715059525,0.9315312411744229
25%,0.0,0.9881448472047623,1.0405715134597637,1.0445992981764234,1.131844257954479,0.9366648404343683
50%,0.0,1.131844257954479,1.043615915282599,1.0446672941545443,1.1563133473557572,0.9537390122535438
75%,0.0,1.2384709239928449,1.1092235937863142,1.0923575910319294,1.250705468693484,0.9672329808855644
max,0.0,1.3536366809892355,1.1647526926426237,1.1271449375908953,1.3536366809892355,1.100758143435449
